Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
2022/2023,Manchester United,10,517,1,0,4.35,1.04,2.14,0.31,0.37,0.05
2021/2022,Manchester United,30,2468,18,3,4.01,0.95,17.21,4.42,0.63,0.16
2021/2022,Juventus,1,28,0,0,3.21,3.21,0.2,0.04,0.66,0.11
2020/2021,Juventus,33,2807,29,3,5.35,1.15,29.84,3.85,0.96,0.12
2019/2020,Juventus,33,2920,31,5,6.41,1.57,29.43,6.07,0.91,0.19
2018/2019,Juventus,31,2692,21,8,5.85,1.6,23.32,5.19,0.78,0.17
2017/2018,Real Madrid,27,2304,26,5,6.95,1.56,27,5.52,1.05,0.22
2016/2017,Real Madrid,29,2546,25,6,5.73,1.1,25.41,4.59,0.9,0.16
2015/2016,Real Madrid,36,3186,35,11,6.41,1.44,35.59,8.61,1.01,0.24
2014/2015,Real Madrid,35,3103,48,16,6.53,2.2,39.31,13.6,1.14,0.39